Publication Number,Title,Priority Date,Publication Date,Primary Layer,Secondary Layers,Autonomy Signal,Matched Keywords,Autonomy Terms,Abstract
US2026131761A1,AUTOMATIC CONDITION-BASED LENS CLEANING SYSTEM,2024-11-11,2026-05-14,L1 Perception,,Y,[weak+aut]\bcamera\b,autonom,"Typically, when utilizing sensors or cameras for autonomous or remote-control operations in dirty environments, lenses are susceptible to dirt, dust, debris, and water collection on the lens that may lead to poor readings or visibility. Accordingly, an automatic condition-based lens cleaning system, comprising: a camera mounted on a loader and including a camera lens; a temperature sensor associat"
US2025360941A1,Spatial Localization Imaging System,2024-05-21,2025-11-27,L2 Localisation,,N,[strong]locali[sz]ation,,"A spatial localization imaging system for a machine, including an imaging device mounted to a frame of the machine, a target configured to interact with the imaging device, and a controller operatively connected to an implement of the machine, the controller configured to receive target data from the imaging device, interpret the target data to calculate a map of a site the machine is operating on"
US2025370065A1,GROUND FAULT DETECTION TECHNIQUES IN MOBILE MACHINES,2024-05-31,2025-12-04,L2 Localisation,,N,[strong]locali[sz]ation,,"Techniques are described for detecting and isolating ground faults within power converter systems, particularly in high-voltage and high-power applications such as mobile machines. The disclosed techniques monitor an electrical parameter of the system to enable the rapid identification and precise localization of ground faults.<img file=""US2025370065A1_B0001.tif"" />"
US2026049902A1,DETECTION AND LOCALIZATION OF ISSUES IN WORK MACHINES USING ACOUSTIC SENSOR,2024-08-16,2026-02-19,L2 Localisation,,Y,[strong]locali[sz]ation,"autonom, autonomous operation","Problems with a work machine that manifest themselves as noises may go unnoticed in the case of remote or autonomous operation of the work machine. Accordingly, disclosed embodiments utilize acoustic sensor(s), mounted on the work machine, to monitor noises emanating from different locations on the work machine, corresponding to known components. Spatial filtering may be used to map noises to spec"
US2025224739A1,SPEED CONTROL FOR AUTONOMOUS VEHICLE IN HIGH PERFORMANCE DRIVING BEHAVIOR REGION,2024-01-09,2025-07-10,L3 Path Planning,,Y,[strong]autonomous driving,autonom,"The controller of the present disclosure enables an autonomous vehicle to travel at increased speed in a high performance driving behavior region (HPDBR), such as when a likelihood of the autonomous vehicle driving off course or colliding with other vehicles and/or people at the work site is low. In some implementations, a controller of an autonomous vehicle may obtain autonomous vehicle position "
US2024336311A1,RETROFITTABLE TRACK LINK FOR ENDLESS CRAWLER TRACKS OF WORK MACHINES,2024-03-07,2024-10-10,L5 Machine Interface,,N,[strong]retrofit,,"A retrofittable track link, for an endless crawler track, includes a body defining a first side, a second side, a leading strap end, a trailing strap end, an intermediate portion extending between the leading and trailing strap ends and defining a linear profile, a first surface at the leading strap end towards the first side, and a second surface at the trailing strap end towards the second side."
US2026153409A1,SYSTEMS AND METHODS FOR PRE-TESTING AND ASSEMBLING SUB-ASSEMBLIES FOR A RETROFITTED MACHINE,2024-12-02,2026-06-04,L5 Machine Interface,,N,[strong]retrofit,,"Disclosed is a method of testing and assembling a power system of an electric or partial electric machine, the method including: assembling one or more sub-assemblies of the power system; testing one or more of the one or more sub-assemblies of the power system independently; adjusting one or more of the one or more sub-assemblies based on the testing; assembling each sub-assembly in a pre-determi"
US2025273967A1,COMPUTER IMPLEMENTED METHOD AND SYSTEM FOR DISPATCHING MACHINES BASED ON ALLOCATED POWER,2024-02-27,2025-08-28,L6 Fleet Coordination,,N,[strong]dispatch,,"An energy management system (EMS) manages allocations of power to charging stations and other power resources at a worksite. The EMS provides a planning system with long-term power data indicating maximum and/or expected power allocations over a relatively long period of time, and provides a dispatch system with short-term power data indicating current and/or expected power allocations over a shor"
US2025269757A1,DISPATCH SYSTEM AND METHOD FOR BATTERY ELECTRIC MACHINES,2024-02-27,2025-08-28,L6 Fleet Coordination,,N,[strong]dispatch,,A dispatch system and method for battery electric machines is disclosed. The dispatch system includes a processor configured to receive battery information from the battery electric machines and assign first battery electric machines for operation based on the battery information. The processor is also configured to station second battery electric machines at one or more charging stations. Further
US2025300461A1,MICROGRID NETWORK CHARACTERIZATION,2024-03-21,2025-09-25,L6 Fleet Coordination,,N,[strong]dispatch,,An microgrid with a microgrid controller characterizes individual power generating assets of the microgrid by determining the level of expected parasitic losses in the delivery of power from the assets to loads that are being powered by the microgrid. The controller may command changes in the power delivery from a particular asset and then observe how a swing machine responds to those changes. By 
US12405942B1,Methods and systems for identifying fleet errors,2024-04-11,2025-09-02,L6 Fleet Coordination,,N,[strong]fleet management,,"A technique is directed to methods and systems for detecting and correcting errors and abnormalities in assembling fleet lists within one or more platforms. A fleet management system can analyze asset information, such as last known position, history of device attachments, or joins between devices/datasets, to detect and correct errors and abnormalities in the assembling fleet lists. The fleet man"
US2025376052A1,CHARGE DISPENSER SYSTEM,2024-06-07,2025-12-11,L6 Fleet Coordination,,N,[strong]fleet management,,"A charge dispenser device to charge battery electric machines (BEMs) includes multiple charger input receptacles to receive electrical energy from multiple charger devices; a cable connector configured to connect to a charging cable, wherein the charging cable is connectable to the BEM; and a dispenser controller. The dispenser controller is configured to receive an indication from a fleet control"
US2025385521A1,IMPROVED PEAK MICROGRID LOAD DISPATCH,2024-06-17,2025-12-18,L6 Fleet Coordination,,N,[strong]dispatch,,"A microgrid controller of a microgrid includes a communication interface configured to receive load information corresponding to a current load demand of a plurality of loads connected to the microgrid and output control signals for controlling energy resource systems associated with the microgrid, which include a non-stabilizing group and a stabilizing group; and one or more processors, coupled t"
US12489296B1,Energy storage system dispatch strategy for multiple non-energy-storage systems with charge restrictions,2024-08-12,2025-12-02,L6 Fleet Coordination,,N,[strong]dispatch,,"A microgrid controller of a microgrid includes one or more memories configured to store a plurality of state-of-charge (SOC) setpoints corresponding to one or more energy storage systems (ESSs), a lower dispatch threshold that varies based on the plurality of SOC setpoints, and an upper dispatch threshold that varies based on the plurality of SOC setpoints. The microgrid controller is configured t"
US2026058469A1,MICROGRID COMMAND STRATEGY,2024-08-21,2026-02-26,L6 Fleet Coordination,,N,[strong]dispatch,,"A microgrid controller of a microgrid includes a communication interface configured to receive load information corresponding to a plurality of loads connected to the microgrid, receive energy resource information corresponding to a plurality of energy resource systems connected to the microgrid, and output control signals for controlling an operation of each energy resource system; and one or mor"
US2026100589A1,Asset Fuel-Reserve Based Microgrid Control Strategy,2024-10-09,2026-04-09,L6 Fleet Coordination,,N,[strong]dispatch,,A refueling prediction mode in a microgrid power system may include inputting historical load and weather date of the microgrid power system to a forecasting block and determining forecasted site load and weather factors for the microgrid power system. The forecasted site load and weather factors may be used along with fuel efficiency curves and asset fuel levels for power assets of the microgrid 
US2026105784A1,"EQUIPMENT ANALYSIS, MAINTENANCE MONITORING, OPERATOR TRAINING AND FLEET MANAGEMENT",2024-10-15,2026-04-16,L6 Fleet Coordination,L7 Digital Jobsite,Y,[strong]fleet management | [weak+aut]\bfleet\b | [strong]digital twin,"machine learning, artificial intelligence","Generation of a reduced order model (ROM)-based digital twin and presentation of an equipment system, subsystem or component using augmented reality, mixed reality or virtual reality is provided. Leveraging digital twin generation, artificial intelligence and machine learning analytics, and immersive augmented reality, mixed reality or virtual reality experiences enables a more realistic virtual m"
US2026135391A1,OPTIMIZED RENEWABLE FUEL PRODUCTION USING A MICROGRID CONTROLLER,2024-11-11,2026-05-14,L6 Fleet Coordination,,N,[strong]dispatch,,"A microgrid controller may determine, based on load information and energy resource information, that a group of renewable-energy-based (REB) energy resource systems is producing excess renewable energy relative to a load demand on a microgrid; calculate an amount of excess renewable energy produced by the group of REB energy resource systems; transmit, based on the group of REB energy resource sy"
US2025293536A1,BATTERY CHARGE CONTROL OPTIMIZATION FOR EXTENDED LIFE WITH MACHINE,2024-03-18,2025-09-18,L7 Digital Jobsite,,Y,[strong]digital twin,machine learning,Techniques are described for using machine learning to extract physics-based cell model parameters from battery charge data provided by the battery module of the battery management system. This data may be processed via machine learning techniques in order to periodically update or adapt a physics-based model that may capture cell electrical dynamics and degradation mechanisms. The techniques may 
US2025304068A1,SYSTEM AND METHOD FOR MACHINE CONTROL USING ROAD SURFACE QUALITY DATA,2024-03-26,2025-10-02,L8 Remote Operations,L4 Grade Control,Y,[strong]remote operator | [weak+aut]machine control,autonom,"Machines at a worksite are configured to operate autonomously e.g., travel within and/or to perform tasks at a worksite when commanded by a remote operator station (ROS). The ROS may further be able to command modifications in the operations of individual machines at the worksite based at least in part on the locations of those machines at the worksite and the conditions of the traveling surfaces "
