Publication Number,Title,Priority Date,Publication Date,Primary Layer,Secondary Layers,Autonomy Signal,Matched Keywords,Autonomy Terms,Abstract
EP4451160A1,IMPROVED 3D MODELING PROCESS THROUGH CONVERSION OF LIDAR SCAN DATA,2024-04-11,2024-10-23,L1 Perception,,N,[strong]lidar,,"A modeling system accesses a mesh model generated via a light detection and ranging (LiDAR) scan of an environment comprising a room, the mesh model including anchors corresponding to walls, a floor, and a ceiling of the room. The modeling system generates, based on the anchors in the mesh model, alternate walls for a modified mesh model, the alternate walls corresponding to mesh facets of the mes"
US2025349085A1,CAPTURE AND DISPLAY OF POINT CLOUDS USING AUGMENTED REALITY DEVICE,2024-05-08,2025-11-13,L1 Perception,,N,[strong]point cloud,,Techniques for capturing and displaying point clouds using an AR device are described. A GNSS point of the AR device is determined based on received satellite signals. A depth image is captured while the AR device is positioned at the GNSS point. The depth image is projected into 3D space to obtain a point cloud having a set of points. An accuracy of the GNSS point is determined. In response to de
US2025269872A1,ACCURACY VERIFICATION OF A PERCEPTION SYSTEM OF A VEHICLE,2025-04-29,2025-08-28,L1 Perception,,N,[strong]\bperception\b,,A method of verifying accuracy of a perception system of a vehicle includes causing the vehicle to traverse a path around a target that is fixed in an environment. The target has a known pose. The path is configured so that the target comes into a respective field of view (FOV) of each respective perception sensor of one or more perception sensors of the perception system along the path. The metho
US2025277808A1,IMPLEMENT-ON-GROUND DETECTION USING VIBRATION SIGNALS,2025-05-16,2025-09-04,L1 Perception,L4 Grade Control,manual,[MANUAL] implement-on-ground contact detection (vibration) for construction-machine earthmoving; empty abstract -> keyword miss,,"Described herein are systems, methods, and other techniques for determining a period during which an implement of a construction machine is interacting with a ground surface. A vibration signal that is indicative of a movement of the implement is captured. One or more features are extracted from the vibration signal. The one or more features are provided to a machine-learning model to generate a m"
US2025290298A1,CONSTRUCTION SITE ORCHESTRATION USING DYNAMIC COMPUTER VISION,2025-06-03,2025-09-18,L1 Perception,,N,[strong]computer vision,,"Techniques for orchestrating activities at an earthmoving site are described. In an example, a stream of images are captured by an image capturing device removably fixed to a mobile earthmoving machine with a field of view overlapping with a working range of an attachment coupled to the mobile earthmoving machine. Using a selected subset of images from the stream captured during a time period, a f"
EP4735697A1,AUTO SWING CONTROL TO AN ALIGNMENT FOR SWING BOOM MACHINES,2024-06-24,2026-05-06,L4 Grade Control,L3 Path Planning,manual,[MANUAL] auto swing-boom control to a design alignment (excavator); empty abstract -> keyword miss,,
US2025122697A1,GRADE CONTROL SYSTEMS AND METHODS FOR EARTHMOVING IMPLEMENTS,2024-12-23,2025-04-17,L4 Grade Control,,N,[strong]grade control,,"Control systems and methods for an earthmoving machine and control architecture to generate a surface associated with a curved surface of an earthmoving implement, project the surface onto a two-dimensional (2D) plane associated with the earthmoving implement, determine a continuous curve based on the surface projected on to the 2D plane, determine a derivative of the continuous curve, project a d"
