Publication Number,Title,Priority Date,Publication Date,Primary Layer,Secondary Layers,Autonomy Signal,Matched Keywords,Autonomy Terms,Abstract
EP4632156A1,AUTOMATIC GRAB ASSISTANCE SYSTEM FOR CONSTRUCTION MACHINERY AND AUTOMATIC GRAB ASSISTANCE CONTROL METHOD FOR CONSTRUCTION MACHINERY,2024-04-09,2025-10-15,L1 Perception,,N,[strong]point cloud,,"An aspect of the present disclosure is an automatic grab assistance system for construction machine comprising a working device having a lower driving body, an upper swivel body rotatably coupled to the lower driving body about a first rotation axis, and a boom rotatably coupled to the upper swivel body about a second rotation axis, an arm rotatably coupled to a front end of the boom about a third"
KR20250149500A,AUTOMATIC GRAB ASSISTANCE SYSTEM FOR CONSTRUCTION MACHINERY AND AUTOMATIC GRAB ASSISTANCE CONTROL METHOD FOR CONSTRUCTION MACHINERY,2024-04-09,2025-10-16,L1 Perception,,N,[strong]point cloud,,"One aspect of the present disclosure provides an automatic grab assistance system for a construction machine, including a work device having an undercarriage, an upper swing body rotatably connected to the undercarriage about a first rotation axis, and a boom rotatably connected to the upper swing body about a second rotation axis, an arm rotatably connected to a tip of the boom about a third rota"
WO2025187846A8,REMOTE CONTROL SYSTEM FOR CONSTRUCTION MACHINE HAVING MOVING PATH GUIDANCE FUNCTION,2024-03-05,2025-10-02,L8 Remote Operations,,N,[strong]remote control,,"<p num=""0000"">One aspect of the present disclosure relates to a remote control system for a construction machine having a moving path guidance function, including a construction machine having a pair of left and right driving units, and a remote control device for remotely controlling the construction machine, the remote control system comprising: a photographing unit mounted on the construction m"
WO2025249592A1,SYSTEM FOR SUPPORTING REMOTE CONSTRUCTION FOR CONSTRUCTION MACHINE,2024-05-28,2025-12-04,L8 Remote Operations,,Y,[strong]remote operation | [strong]remotely operat,remotely operat,"<p num=""0000"">One aspect of the present disclosure relates to a remote construction support system for a construction machine, comprising: a communication device that controls communication with the construction machine; a remote operation lever that remotely operates the construction machine; a remote display that outputs a photographed image of a surrounding area photographed by a photographing "
WO2025249608A1,REMOTE OPERATION SYSTEM HAVING SWING ASSIST FUNCTION FOR CONSTRUCTION MACHINE,2024-05-30,2025-12-04,L8 Remote Operations,L4 Grade Control,Y,[strong]remote operation | [strong]remotely operat | [weak+aut]\bbucket\b,remotely operat,"<p num=""0000"">An aspect of the present disclosure provides a remote operation system having a swing assist function for a construction machine, the system including: a construction machine including a lower traveling body, an upper rotating body rotatably coupled to the lower traveling body, and a working device mounted on the upper rotating device and including a boom, an arm, and a bucket; and a"
SE2450981A1,COMPUTER SYSTEM AND METHOD FOR VEHICLE OVERTURN PREVENTION,2024-10-01,2024-10-01,L8 Remote Operations,,N,[strong]haptic,,"A computer system comprises processing circuitry configured to: obtain current vehicle data for a vehicle associated with one or more of a current vehicle speed, a current ground friction, a current lateral inclination, a current longitudinal inclination and a current total weight associated with the vehicle; estimate at least one overturn steering angle for the vehicle based on the current vehicl"
